video,category,scene,prompt,mean_iou,median_iou,n_frames,n_failed
0043-watch3_scene03,watch,03,wristwatch,0.9733,0.9824,8,0
0044-watch4,watch,,wristwatch,0.9295,0.9269,8,0
0045-watch5,watch,,wristwatch,0.3124,0.3546,8,0
0046-watch6_scene01,watch,01,wristwatch,0.9462,0.9511,8,0
0046-watch6_scene02,watch,02,wristwatch,0.9563,0.9626,8,0
0046-watch6_scene03,watch,03,wristwatch,0.9845,0.9848,8,0
0046-watch6_scene04,watch,04,wristwatch,0.9692,0.9667,8,0
0046-watch6_scene05,watch,05,wristwatch,0.9644,0.9669,8,0
0047-watch7_scene01,watch,01,wristwatch,0.9231,0.9684,8,0
0047-watch7_scene02,watch,02,wristwatch,0.9881,0.9884,8,0
0047-watch7_scene03,watch,03,wristwatch,0.8827,0.897,8,0
0047-watch7_scene04,watch,04,wristwatch,0.8267,0.7964,8,0
0048-watch8_scene01,watch,01,wristwatch,0.3962,0.4153,8,0
0048-watch8_scene02,watch,02,wristwatch,0.5626,0.4933,8,0
0048-watch8_scene03,watch,03,wristwatch,0.7884,0.8077,8,0
0048-watch8_scene04,watch,04,wristwatch,0.5686,0.5811,8,0
0048-watch8_scene05,watch,05,wristwatch,0.8193,0.8875,8,0
0048-watch8_scene06,watch,06,wristwatch,0.8413,0.8772,8,0
0049-clothing1,clothing,,clothing,0.6663,0.6402,8,0
0050-clothing2,clothing,,clothing,0.5268,0.5651,8,0
